Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Quantity~Integer~Quantity~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~PowerScr.PrjPCB|ReportField=ProjectFullPath~C:\Users\Public\Documents\Altium\Electronic Design\Tesis Dextra\PowerScr\PowerScr.PrjPCB|ReportField=Title~Bill of Materials For Project [PowerScr.PrjPCB] (No PCB Document Selected)|ReportField=TotalQuantity~21|ReportField=ReportTime~21:19:34|ReportField=ReportDate~1/27/2012|ReportField=ReportDateTime~1/27/2012 21:19:34|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~1/27/2012|ReportField=CurrentTime~21:19:27|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\Public\Documents\Altium\Electronic Design\Tesis Dextra\PowerScr\PowerScr.SchDoc|ReportField=DocumentName~PowerScr.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~1/2/2012|ReportField=Organization~|ReportField=ProjectName~PowerScr.PrjPCB|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~PowerScr.PrjPCB|ReportField=DataSourceFullPath~C:\Users\Public\Documents\Altium\Electronic Design\Tesis Dextra\PowerScr\PowerScr.PrjPCB
Cap|Capacitor|C30|RAD-0.2|Cap|1
Cap Pol1|Polarized Capacitor (Radial)|C31|C100UFB|Cap Pol1|1
593D105X0020B2|Tantamount Commercial, Surface Mount Solid Tantalum Chip Capacitor for Switch Mode Power Supplies and Converters: 10uF, 20% Tolerance, 20 WVDC @ +85°C, Surge = 26V|C32, C35|3528|593D106X0020B2|2
593D226X0020D2|Tantamount Commercial, Surface Mount Solid Tantalum Chip Capacitor for Switch Mode Power Supplies and Converters: 22uF, 20% Tolerance, 20 WVDC @ +85°C, Surge = 26V|C33, C34, C36, C37|7343|593D226X0020D2|4
1N4002|1 Amp General Purpose Rectifier|D1, D2, D3, D4|DO-41|Diode 1N4002|4
INPUT|Header, 6-Pin|INPUT|AZUL5-6|Header 6|1
OUTPUT|Header, 7-Pin|OUTPUT|AZUL5-7|Header 7|1
Res3|Resistor|R73, R75|RESC6332M|Res3|2
POT3361||R74, R76|3361P|POT3361|2
TLE2426|Precision Virtual Ground|U12|SOP8 - duplicate|TLE2426|1
LM317BD2T|Three-Terminal Adjustable Output Positive Voltage Regulator|U13, U14|936-03|LM317BD2T|2
